title,company,location,source,posted_at,url,date_posted,tags,description
"Crescendo: Director, Demand Generation",Unknown,,,2025-05-28 09:54,https://weworkremotely.com/remote-jobs/crescendo-director-demand-generation,,,
CRM Experts Online: Zoho Project Consultant,Unknown,,,2025-05-28 09:47,https://weworkremotely.com/remote-jobs/crm-experts-online-zoho-project-consultant,,,
Axiom Software Solutions Limited: Sr MS Dynamics CRM Business analyst,Unknown,,,2025-05-28 09:47,https://weworkremotely.com/remote-jobs/axiom-software-solutions-limited-sr-ms-dynamics-crm-business-analyst,,,
hey contact heroes GmbH: Freelancer (m/w/d) Inbound Kundenservice - überall in der EU! - Home-Office,Unknown,,,2025-05-28 08:32,https://weworkremotely.com/remote-jobs/hey-contact-heroes-gmbh-freelancer-m-w-d-inbound-kundenservice-uberall-in-der-eu-home-office,,,
ILSC Education Group: Creative Graphics Designer,Unknown,,,2025-05-27 19:49,https://weworkremotely.com/remote-jobs/ilsc-education-group-creative-graphics-designer,,,
"DNAnexus: Product Marketing Director, Diagnostics & Health Systems",Unknown,,,2025-05-27 19:36,https://weworkremotely.com/remote-jobs/dnanexus-product-marketing-director-diagnostics-health-systems,,,
Kustomer: Commercial Sales Manager,Unknown,,,2025-05-27 19:20,https://weworkremotely.com/remote-jobs/kustomer-commercial-sales-manager,,,
Online River: Remote CRM Coordinator,Unknown,,,2025-05-27 19:20,https://weworkremotely.com/remote-jobs/online-river-remote-crm-coordinator,,,
LATAM/EU Only] Executive Assistant to the CEO at Growing MarTech SaaS 🚀,Vidalytics: [Remote,,,2025-05-27 17:24,https://weworkremotely.com/remote-jobs/vidalytics-remote-latam-eu-only-executive-assistant-to-the-ceo-at-growing-martech-saas,,,
Spectral Core: Senior C# Developer with strong database knowledge,Unknown,,,2025-05-27 16:02,https://weworkremotely.com/remote-jobs/spectral-core-senior-csharp-developer-with-strong-database-knowledge,,,
steampunk: Service Designer,Unknown,,,2025-05-27 14:52,https://weworkremotely.com/remote-jobs/steampunk-service-designer,,,
"J.D. Power: Partner Manager, Customer Relationship Manager (CRM)",Unknown,,,2025-05-27 14:51,https://weworkremotely.com/remote-jobs/j-d-power-partner-manager-customer-relationship-manager-crm,,,
&MARKETING: Digital Marketer: Tech and Design Director,Unknown,,,2025-05-27 13:23,https://weworkremotely.com/remote-jobs/marketing-digital-marketer-tech-and-design-director,,,
Growth Lead (CryptoKitties),Dapper Labs,"Vancouver, Canada",,,https://findwork.dev/XlLROKX/growth-lead-cryptokitties-at-dapper-labs,2025-05-28T04:00:00Z,,Dapper Labs is looking to hire a Growth Lead (CryptoKitties) to join their team. This is a full-time position that is remote or can be based in Vancouver.
Sr. Growth Marketing Manager,Blockstream,"New York, United States",,,https://findwork.dev/nvDVj6M/sr-growth-marketing-manager-at-blockstream,2025-05-28T04:00:00Z,,Blockstream is looking to hire a Sr. Growth Marketing Manager to join their team. This is a full-time position that is based in New York NY.
Web3 Communication & Content Manager,Horizen Labs,,,,https://findwork.dev/MAdGwBQ/web3-communication-content-manager-at-horizen-labs,2025-05-28T04:00:00Z,,Horizen Labs is looking to hire a Web3 Communication & Content Manager to join their team. This is a full-time position that can be done remotely anywhere in the United States.
Full Stack / Blockchain Developer,Mangrove,"Paris, France",,,https://findwork.dev/Q4q4pzM/full-stack-blockchain-developer-at-mangrove,2025-05-28T04:00:00Z,,<h2>About Mangrove</h2><p><a><strong>Mangrove</strong></a> is a next-generation order book DEX where liquidity providers can post <em>programmable</em> offers. By linking arbitrary smart contracts to 
Production / Freelance Graphic Designer For Fall 2025 (Remote work) ,Loren Myers & Associates ,,,,https://findwork.dev/n7lrx9Q/production-freelance-graphic-designer-for-fall-2025-remote-work-at-loren-myers-associates,2025-05-27T21:05:00Z,,"<h3>Job description</h3>This is a part-time, temporary position from August 2025 through November 2025. You will be assisting the design team with production-related edits using Adobe Creative Suite ("
Strategic Designer (Intermediate Level),BrandFirst Creative Agency,,,,https://findwork.dev/nalLmZX/strategic-designer-intermediate-level-at-brandfirst-creative-agency,2025-05-27T16:43:29Z,,"<p>With 40 years of industry experience, BrandFirst is a full-service creative agency that services companies & brands of all sizes. We are a close-knit group of big thinkers who share a common passio"
